p1;p2;s2;s3;s4;s7;s8;s9;s11;s12;s13;s14;s17;s20;s21;time_before_failure
-0.0015;0.0002;642.21;1589.21;1398.94;553.66;2388.02;9056.55;47.44;521.58;2388.03;8136.44;390;39.02;23.4428;116
0.0022;0.0004;642.55;1586.30;1400.97;554.61;2388.06;9046.44;47.41;521.60;2388.08;8135.25;393;38.99;23.2750;115
0.0040;0.0002;641.99;1580.76;1404.10;553.47;2388.08;9042.37;47.40;522.28;2388.16;8133.91;392;38.88;23.3486;114
0.0022;-0.0002;642.12;1582.46;1403.93;553.77;2388.04;9047.86;47.35;521.85;2388.13;8135.40;394;38.90;23.3121;113
-0.0002;-0.0004;641.94;1591.96;1393.58;553.91;2388.06;9043.67;47.64;521.52;2388.10;8134.66;392;38.89;23.3613;112
-0.0018;-0.0004;642.73;1584.82;1402.04;553.88;2388.10;9045.31;47.43;521.66;2388.05;8128.87;392;38.77;23.3730;111
-0.0012;0.0001;642.04;1589.07;1399.17;554.18;2388.10;9048.22;47.25;521.95;2388.03;8134.04;393;38.89;23.2713;110
0.0004;0.0005;642.66;1588.05;1406.38;553.49;2388.08;9049.08;47.22;521.93;2388.05;8131.32;391;38.80;23.3274;109
0.0005;0.0002;642.64;1585.52;1406.60;553.91;2388.05;9050.47;47.38;521.54;2388.06;8131.54;392;38.73;23.2653;108
0.0025;0.0003;642.28;1590.12;1405.96;554.40;2388.01;9056.08;47.36;522.30;2388.05;8135.31;392;39.01;23.2840;107
-0.0012;0.0004;641.84;1588.80;1403.56;553.69;2388.10;9047.26;47.38;521.82;2388.09;8130.06;394;38.94;23.3945;106
0.0000;-0.0004;642.33;1586.69;1413.10;554.10;2388.14;9050.52;47.34;521.43;2388.06;8130.41;391;38.88;23.3402;105
0.0029;0.0003;641.96;1581.29;1406.09;554.48;2388.07;9046.73;47.46;522.20;2388.04;8131.47;392;38.90;23.3086;104
0.0008;-0.0001;642.24;1584.73;1402.22;553.91;2388.05;9055.24;47.46;521.55;2388.08;8135.15;392;38.95;23.3288;103
0.0017;-0.0001;642.67;1584.38;1412.93;552.88;2388.10;9051.27;47.32;521.49;2388.09;8129.72;391;38.98;23.4712;102
0.0025;-0.0004;641.98;1584.84;1404.76;553.54;2388.04;9050.72;47.32;521.55;2388.10;8134.40;394;39.11;23.3842;101
0.0010;-0.0002;642.89;1590.03;1400.77;553.81;2388.14;9048.36;47.45;521.91;2388.05;8131.39;392;38.99;23.3522;100
0.0032;0.0002;642.85;1593.74;1408.48;554.07;2388.07;9047.87;47.46;521.43;2388.08;8133.15;392;38.86;23.2477;99
-0.0021;0.0002;642.45;1583.27;1404.94;553.86;2388.15;9045.83;47.48;521.61;2388.07;8132.40;393;38.85;23.3758;98
0.0019;0.0003;642.86;1577.60;1410.10;553.91;2388.02;9048.85;47.38;521.92;2388.02;8131.63;394;38.76;23.3269;97
-0.0034;0.0001;642.19;1584.07;1395.16;553.34;2388.07;9048.71;47.39;521.66;2388.06;8130.69;392;38.88;23.3255;96
0.0035;-0.0003;642.07;1595.77;1407.81;553.40;2388.09;9046.10;47.46;521.67;2388.06;8128.74;392;39.01;23.2963;95
0.0006;0.0004;642.00;1591.11;1404.56;552.75;2388.06;9045.49;47.37;522.31;2388.06;8127.89;391;38.96;23.2554;94
-0.0005;-0.0000;642.46;1592.73;1406.13;553.76;2388.08;9045.14;47.40;521.42;2388.10;8131.77;393;38.82;23.2323;93
-0.0021;-0.0003;642.22;1589.63;1411.35;554.22;2388.07;9045.72;47.64;521.55;2388.08;8132.49;392;38.93;23.4090;92
0.0012;0.0003;642.75;1584.18;1403.41;553.37;2388.06;9052.30;47.62;521.89;2388.08;8125.97;391;38.75;23.4149;91
0.0017;0.0005;642.85;1589.11;1403.42;553.42;2388.15;9051.36;47.49;521.38;2388.05;8130.40;393;38.94;23.3653;90
-0.0013;0.0001;642.21;1581.27;1403.21;553.64;2388.09;9053.28;47.57;521.41;2388.10;8124.40;392;38.69;23.4289;89
-0.0001;0.0001;642.29;1590.63;1406.25;553.66;2388.08;9044.73;47.34;522.38;2388.09;8131.89;392;38.96;23.3393;88
0.0024;0.0004;642.01;1588.28;1403.22;553.11;2388.09;9048.36;47.31;521.81;2388.08;8134.01;393;38.77;23.3857;87
0.0000;0.0001;642.68;1589.05;1404.45;553.60;2388.08;9049.82;47.44;521.51;2388.09;8126.38;392;39.08;23.4148;86
-0.0012;-0.0001;642.53;1595.13;1407.73;553.74;2388.07;9048.68;47.35;521.75;2388.07;8132.40;396;39.01;23.4086;85
0.0008;0.0001;643.49;1585.91;1399.47;554.43;2388.14;9047.03;47.61;521.52;2388.03;8131.52;393;38.75;23.3032;84
-0.0011;-0.0003;642.49;1586.45;1409.10;553.59;2388.10;9051.13;47.58;521.62;2388.11;8130.97;394;39.05;23.3561;83
-0.0000;0.0004;642.55;1590.01;1401.27;554.08;2388.13;9051.40;47.55;522.01;2388.12;8127.16;393;39.06;23.2951;82
0.0008;0.0004;642.67;1584.38;1408.11;553.49;2388.12;9051.64;47.62;521.53;2388.14;8132.40;392;38.92;23.2135;81
0.0005;0.0003;642.66;1586.46;1401.84;553.19;2388.06;9051.28;47.22;521.90;2388.08;8131.52;394;38.84;23.3207;80
0.0007;0.0001;642.68;1590.85;1406.59;552.91;2388.10;9053.15;47.46;521.75;2388.16;8129.32;393;38.90;23.3101;79
0.0003;0.0004;642.31;1588.42;1402.97;554.29;2388.07;9046.58;47.58;521.68;2388.15;8132.36;394;38.89;23.3754;78
-0.0017;0.0005;642.66;1594.84;1406.60;554.13;2388.11;9050.37;47.43;521.36;2388.12;8127.60;393;38.93;23.3022;77
-0.0020;-0.0003;642.64;1580.31;1401.99;554.40;2388.08;9049.71;47.43;521.60;2388.05;8134.46;394;39.03;23.3512;76
0.0005;0.0004;642.38;1589.77;1409.35;554.59;2388.10;9049.61;47.52;521.22;2388.10;8126.12;391;38.73;23.1766;75
-0.0006;-0.0004;642.34;1585.67;1409.34;554.25;2388.10;9051.12;47.55;521.31;2388.12;8135.21;393;38.88;23.2966;74
0.0013;0.0005;642.67;1596.80;1404.46;553.77;2388.10;9045.89;47.55;521.46;2388.09;8123.85;394;39.01;23.3188;73
-0.0024;0.0005;642.81;1593.78;1407.68;553.66;2388.10;9048.72;47.60;521.34;2388.10;8125.57;393;38.81;23.3061;72
-0.0033;0.0004;642.63;1593.56;1411.90;553.70;2388.07;9040.97;47.44;521.30;2388.04;8133.94;394;38.63;23.4220;71
0.0026;-0.0001;643.30;1593.68;1413.97;553.43;2388.15;9042.39;47.60;520.92;2388.12;8131.81;393;38.86;23.2793;70
0.0016;-0.0002;643.39;1586.66;1403.04;552.64;2388.12;9049.44;47.41;521.60;2388.17;8129.72;392;38.90;23.2920;69
0.0025;0.0002;642.48;1587.14;1402.28;552.26;2388.13;9053.03;47.55;521.40;2388.13;8133.82;393;38.80;23.2341;68
-0.0004;0.0005;642.96;1585.47;1406.42;552.44;2388.13;9046.16;47.63;521.57;2388.11;8126.33;394;38.68;23.3039;67
0.0016;0.0001;642.49;1582.64;1418.50;553.72;2388.05;9049.11;47.49;521.35;2388.08;8130.94;392;38.85;23.2289;66
-0.0010;0.0002;642.99;1586.90;1399.49;553.81;2388.09;9047.90;47.63;521.34;2388.10;8133.00;393;38.91;23.2772;65
-0.0006;0.0003;642.47;1593.87;1407.06;552.74;2388.13;9056.59;47.62;521.96;2388.16;8132.08;393;38.85;23.2641;64
-0.0033;0.0003;642.41;1591.33;1408.42;552.42;2388.09;9046.08;47.61;522.02;2388.13;8127.33;393;38.84;23.2656;63
-0.0007;0.0002;642.70;1585.90;1412.25;552.66;2388.13;9042.97;47.46;521.49;2388.07;8125.29;394;38.71;23.3461;62
0.0002;-0.0001;643.01;1585.78;1413.25;553.70;2388.11;9045.10;47.70;521.45;2388.13;8126.38;391;38.73;23.3435;61
0.0032;-0.0001;643.19;1596.06;1405.76;553.16;2388.17;9044.04;47.56;521.64;2388.16;8128.92;393;38.53;23.3186;60
0.0032;-0.0002;642.45;1592.64;1410.11;553.82;2388.11;9050.95;47.57;521.23;2388.09;8130.93;394;38.95;23.2521;59
-0.0014;0.0000;642.85;1583.62;1402.67;553.20;2388.11;9046.16;47.75;521.52;2388.13;8131.30;393;38.68;23.2833;58
-0.0017;0.0001;642.45;1585.55;1406.83;553.09;2388.14;9050.65;47.34;520.99;2388.12;8129.34;392;38.85;23.2744;57
0.0030;-0.0001;642.84;1584.72;1404.39;554.18;2388.06;9040.89;47.43;521.54;2388.11;8130.43;393;38.76;23.1699;56
-0.0011;0.0000;642.43;1594.69;1405.15;553.39;2388.14;9040.55;47.89;521.63;2388.12;8128.81;394;38.87;23.2593;55
-0.0011;0.0001;642.79;1589.82;1413.34;552.91;2388.11;9049.64;47.40;521.57;2388.18;8129.67;392;39.00;23.3664;54
-0.0014;0.0005;643.11;1592.28;1412.60;553.25;2388.06;9044.81;47.67;521.03;2388.15;8124.97;394;38.88;23.3422;53
-0.0006;-0.0001;643.05;1590.89;1408.36;552.15;2388.17;9055.85;47.51;521.27;2388.05;8130.27;393;38.82;23.3704;52
-0.0023;0.0005;642.39;1590.02;1415.25;553.45;2388.13;9050.86;47.49;521.06;2388.16;8120.93;394;39.02;23.2382;51
0.0026;0.0002;642.51;1595.29;1413.42;553.11;2388.10;9046.61;47.59;520.44;2388.18;8124.87;392;38.71;23.2816;50
-0.0005;-0.0003;642.77;1593.10;1404.21;553.62;2388.13;9050.63;47.52;520.98;2388.11;8126.81;393;38.79;23.2305;49
0.0025;-0.0004;643.09;1591.89;1405.76;553.77;2388.17;9049.33;47.57;521.11;2388.17;8125.47;393;38.75;23.2249;48
-0.0004;-0.0001;642.95;1594.92;1409.63;553.03;2388.13;9046.92;47.54;521.13;2388.15;8130.91;395;38.67;23.1490;47
0.0002;-0.0003;642.72;1586.75;1408.82;552.60;2388.12;9045.99;47.63;521.13;2388.12;8129.19;392;38.69;23.3233;46
0.0047;0.0001;642.25;1594.85;1409.96;553.09;2388.14;9041.24;47.80;520.92;2388.12;8126.13;393;38.77;23.2684;45
0.0010;-0.0004;643.02;1590.03;1411.89;552.84;2388.16;9040.93;47.49;521.08;2388.15;8124.48;392;38.77;23.2498;44
0.0025;0.0004;642.90;1592.78;1410.70;552.54;2388.17;9057.24;47.83;521.13;2388.15;8124.34;394;38.77;23.2565;43
0.0010;-0.0003;643.06;1589.01;1409.22;553.57;2388.12;9044.76;47.60;520.50;2388.21;8122.99;394;38.68;23.2082;42
-0.0019;-0.0001;642.82;1592.39;1411.94;552.41;2388.14;9048.12;47.58;520.94;2388.22;8127.21;394;38.56;23.2277;41
0.0009;-0.0001;642.67;1598.60;1420.83;552.62;2388.18;9043.90;47.72;520.39;2388.19;8119.00;395;38.77;23.2369;40
0.0011;-0.0004;642.99;1589.17;1414.56;552.68;2388.14;9049.43;47.74;520.69;2388.17;8124.14;393;38.78;23.1719;39
-0.0012;0.0000;642.81;1597.03;1416.07;552.57;2388.14;9049.08;47.73;520.72;2388.18;8129.24;394;38.82;23.2366;38
-0.0033;0.0002;642.83;1590.40;1414.89;552.89;2388.16;9049.56;47.61;521.23;2388.17;8120.41;394;38.68;23.2749;37
-0.0020;0.0003;643.04;1585.61;1421.23;553.24;2388.26;9044.21;47.58;520.75;2388.16;8128.48;395;38.77;23.2791;36
-0.0018;0.0002;642.20;1598.04;1412.47;552.32;2388.14;9053.12;47.72;520.94;2388.17;8125.07;392;38.67;23.2354;35
-0.0023;0.0001;642.88;1596.82;1410.09;553.19;2388.20;9049.22;47.68;520.88;2388.22;8126.33;394;38.75;23.2894;34
-0.0006;0.0001;642.89;1589.54;1420.37;552.18;2388.13;9048.06;47.76;520.65;2388.23;8127.61;394;38.76;23.2530;33
-0.0006;-0.0004;643.45;1590.65;1418.08;551.87;2388.21;9045.42;47.84;520.47;2388.22;8122.68;396;38.52;23.2817;32
0.0008;0.0001;643.00;1594.20;1417.31;552.80;2388.18;9048.06;47.77;520.47;2388.18;8126.97;394;38.66;23.2962;31
-0.0005;0.0004;643.15;1592.22;1423.48;552.68;2388.15;9044.45;47.79;520.44;2388.20;8123.77;394;38.78;23.1538;30
0.0003;-0.0004;642.85;1600.54;1421.09;552.41;2388.20;9049.24;47.89;520.30;2388.20;8124.06;393;38.65;23.1419;29
0.0005;-0.0002;643.17;1598.96;1416.76;551.90;2388.17;9048.92;47.70;520.63;2388.28;8124.63;394;38.62;23.1761;28
0.0010;0.0004;642.76;1597.03;1408.09;552.79;2388.19;9039.09;47.89;520.69;2388.24;8126.53;393;38.59;23.2129;27
-0.0022;-0.0003;643.34;1596.72;1422.37;552.13;2388.22;9043.11;47.86;520.02;2388.22;8119.14;395;38.62;23.1450;26
0.0012;0.0003;643.02;1593.83;1414.72;552.57;2388.23;9042.05;47.85;520.49;2388.18;8122.41;394;38.77;23.3011;25
-0.0043;0.0002;642.68;1591.19;1415.70;552.09;2388.22;9036.35;47.84;520.78;2388.19;8124.44;393;38.76;23.2770;24
-0.0017;0.0004;643.20;1590.16;1418.05;552.71;2388.25;9055.18;47.88;520.44;2388.18;8125.30;394;38.58;23.1870;23
-0.0017;-0.0002;642.92;1592.71;1417.41;552.02;2388.21;9044.03;47.86;520.23;2388.26;8121.76;395;38.66;23.1615;22
0.0004;-0.0003;643.26;1592.06;1414.99;552.71;2388.20;9042.12;48.03;519.85;2388.22;8124.87;395;38.68;23.2444;21
-0.0014;-0.0003;643.33;1591.71;1413.73;551.69;2388.24;9039.10;48.07;520.54;2388.26;8120.08;393;38.65;23.1585;20
-0.0032;0.0002;642.97;1590.69;1425.27;552.13;2388.22;9048.82;47.90;520.11;2388.23;8121.64;395;38.59;23.1789;19
-0.0001;-0.0002;642.64;1599.81;1422.58;552.32;2388.22;9041.25;48.00;520.22;2388.21;8119.17;393;38.57;23.0357;18
0.0001;0.0002;643.61;1603.29;1422.52;551.64;2388.23;9042.66;47.86;520.38;2388.22;8125.76;394;38.58;23.1573;17
-0.0020;-0.0003;642.86;1592.27;1422.73;551.91;2388.23;9045.74;47.84;519.80;2388.20;8123.80;394;38.72;23.2491;16
-0.0038;-0.0003;643.79;1602.02;1423.99;551.93;2388.25;9046.20;48.03;520.24;2388.23;8120.11;396;38.63;23.1673;15
-0.0001;0.0002;643.38;1605.33;1424.65;552.18;2388.23;9046.17;48.00;520.20;2388.20;8116.56;395;38.65;23.1770;14
0.0023;-0.0003;642.86;1592.56;1429.45;551.57;2388.26;9044.23;48.02;520.38;2388.18;8116.84;395;38.77;23.1888;13
-0.0024;0.0000;643.58;1599.87;1417.14;552.91;2388.21;9039.33;47.85;519.84;2388.28;8122.57;395;38.86;23.0070;12
-0.0006;0.0005;643.44;1596.71;1420.64;551.83;2388.23;9038.29;48.10;520.43;2388.23;8114.79;397;38.34;23.1652;11
-0.0010;0.0003;644.21;1602.08;1426.62;551.90;2388.26;9041.23;47.98;520.46;2388.25;8119.67;397;38.43;23.1787;10
0.0001;0.0001;643.24;1597.23;1419.03;551.38;2388.21;9040.94;48.03;520.05;2388.23;8117.80;396;38.56;23.1302;9
0.0004;0.0003;644.07;1605.44;1432.52;551.00;2388.24;9047.91;48.07;519.77;2388.28;8115.61;395;38.43;23.0146;8
0.0008;0.0001;643.80;1603.46;1424.40;551.64;2388.29;9043.71;48.15;519.82;2388.27;8113.69;395;38.51;23.0700;7
0.0027;-0.0003;643.51;1595.16;1426.30;552.57;2388.21;9051.37;48.12;520.08;2388.25;8123.45;397;38.47;23.0564;6
-0.0047;-0.0000;643.32;1592.10;1427.27;551.08;2388.29;9037.71;48.23;519.53;2388.28;8115.67;396;38.42;23.0822;5
-0.0067;0.0003;643.75;1602.38;1422.78;551.94;2388.31;9037.91;48.00;519.79;2388.23;8117.69;396;38.51;22.9588;4
-0.0006;0.0002;644.18;1596.17;1428.01;550.70;2388.27;9044.55;48.08;519.58;2388.33;8117.51;395;38.48;23.1127;3
-0.0027;0.0001;643.64;1599.22;1425.95;551.29;2388.29;9040.58;48.33;520.04;2388.35;8112.58;398;38.49;23.0675;2
-0.0000;-0.0004;643.34;1602.36;1425.77;550.92;2388.28;9042.76;48.15;519.57;2388.30;8114.61;394;38.45;23.1295;1
0.0009;-0.0000;643.54;1601.41;1427.20;551.25;2388.32;9033.22;48.25;520.08;2388.32;8110.93;396;38.48;22.9649;0
-0.0018;0.0006;641.89;1583.84;1391.28;554.53;2388.01;9054.72;46.93;522.33;2388.06;8137.72;391;38.94;23.4585;286
0.0043;-0.0003;641.82;1587.05;1393.13;554.77;2387.98;9051.31;47.24;522.70;2387.98;8131.09;392;39.06;23.4085;285
0.0018;0.0003;641.55;1588.32;1398.96;555.14;2388.04;9054.24;47.22;522.58;2387.99;8140.58;391;39.11;23.4250;284
0.0035;-0.0004;641.68;1584.15;1396.08;554.25;2387.98;9058.01;47.10;522.49;2387.93;8140.44;391;39.13;23.5027;283
0.0005;0.0004;641.73;1579.03;1402.52;555.12;2388.03;9058.15;47.25;522.27;2387.94;8136.67;390;39.18;23.4234;282
-0.0010;0.0004;641.30;1577.50;1396.76;554.98;2388.04;9054.07;47.05;522.80;2387.99;8133.65;392;39.15;23.4270;281
